DATE,Interest rate,Consumer price index,M1 money supply,Unemployment rate,Closing price,Inflation rate,Real GDP,Real personal income,M2 money supply,Opening price,House price,Change in values of stocks,Net Exports,Labor compensation,Total capital expenditure and transactions,Outcome
Jan-76,4.87,55.8,516.8,7.9,100.9,6.718,6323.649,5206.807,1026.6,100.9,62.85,11.86,4.65,7.929515419,547930,0
Feb-76,4.77,55.9,520.2,7.7,99.7,6.286,6323.649,5237.103,1040.3,99.7,62.85,-1.19,4.65,7.860262009,547930,0
Mar-76,4.84,56,522.7,7.6,102.8,6.072,6323.649,5250.841,1050,102.8,62.85,3.11,4.65,7.559395248,547930,0
Apr-76,4.82,56.1,525.3,7.7,101.6,6.049,6370.025,5271.098,1060.8,101.6,65.39,-1.17,-0.5,7.559395248,564061,0
May-76,5.29,56.4,524.6,7.4,100.2,6.203,6370.025,5277.153,1072.1,100.2,65.39,-1.38,-0.5,8.387096774,564061,0
Jun-76,5.48,56.7,522.4,7.6,104.3,5.97,6370.025,5284.953,1077.6,104.3,65.39,4.09,-0.5,8.333333333,564061,0
Jul-76,5.31,57,521.4,7.8,103.4,5.351,6404.895,5317.491,1086.3,103.4,66.51,-0.86,-4.07,8.492569002,573439,0
Aug-76,5.29,57.3,521.8,7.8,102.9,5.709,6404.895,5332.551,1098.7,102.9,66.51,-0.48,-4.07,8.631578947,573439,0
Sep-76,5.25,57.6,520.1,7.6,105.2,5.495,6404.895,5337.168,1110.8,105.2,66.51,2.24,-4.07,8.786610879,573439,0
Oct-76,5.02,57.9,521.6,7.7,102.9,5.464,6451.177,5335.461,1125,102.9,67.2,-2.19,-6.6,8.125,587230,0
Nov-76,4.95,58.1,522.5,7.8,102.1,4.882,6451.177,5382.241,1138.2,102.1,67.2,-0.78,-6.6,8.695652174,587230,0
Dec-76,4.65,58.4,524.3,7.8,107.5,4.865,6451.177,5398.735,1152,107.5,67.2,5.29,-6.6,8.847736626,587230,0
Jan-77,4.61,58.7,525.2,7.5,102,5.216,6527.703,5372.549,1165.2,102,69.48,-5.12,-21.08,9.183673469,621416,0
Feb-77,4.68,59.3,525.3,7.6,99.8,5.216,6527.703,5389.96,1177.6,99.8,69.48,-2.16,-21.08,8.502024291,621416,0
Mar-77,4.69,59.6,526.7,7.4,98.4,6.44,6527.703,5413.846,1188.5,98.4,69.48,-1.4,-21.08,8.43373494,621416,0
Apr-77,4.73,60,526.7,7.2,98.4,6.952,6654.466,5437.2,1199.6,98.4,72.66,0,-21.14,9.437751004,658496,0
May-77,5.35,60.2,526.9,7,96.1,6.726,6654.466,5450.793,1209,96.1,72.66,-2.34,-21.14,8.928571429,658496,0
Jun-77,5.39,60.5,526.9,7.2,100.5,6.866,6654.466,5459.172,1217.8,100.5,72.66,4.58,-21.14,9.270216963,658496,0
Jul-77,5.42,60.8,526.6,6.9,98.8,6.83,6774.457,5489.51,1226.7,98.8,74.35,-1.69,-20.58,9.197651663,686738,0
Aug-77,5.9,61.1,527.5,7,96.8,6.62,6774.457,5511.046,1237,96.8,74.35,-2.02,-20.58,8.720930233,686738,0
Sep-77,6.14,61.3,529.4,6.8,96.5,6.597,6774.457,5545.405,1246.2,96.5,74.35,-0.31,-20.58,8.653846154,686738,0
